Type,Name,Filefound,Filename,What do they say about climate change,What do they say about threats or pressures related to climate change,What do they say about gaps in relation to climate change,"What do they recommend in relation to climate change, including issues that require further investigation and/or research?"
Thematic assessment,Benthic habitats,OK,p00957_benthic_habitats_thematic_assessment,,,,
Thematic assessment,Climate change,OK,p00985_qsr2023_climate_change_ta,,,,
Thematic assessment,Eutrophication,OK,p00843_qsr2023_eutrophication_ta,,,,
Thematic assessment,Fish,OK,,,,,
Thematic assessment,Food webs,OK,p00959_qsr2023_foodwebs_ta,,,,
Thematic assessment,Hazardous Substances,OK,p00986_qsr2023_hazardous_substances_ta,,,,
Thematic assessment,Human activities,OK,p00879_qsr2023_human_activities_ta,,,,
Thematic assessment,Marine birds,OK,marine-birds-thematic-assessment,,,,
Thematic assessment,Marin litter,OK,p00878_qsr2023_marine_litter_ta,,,,
Thematic assessment,Marine mammals,OK,p00955_qsr2023_marine_mammals_ta,,,,
Thematic assessment,Non-indigenous species,OK,p00960_qsr2023_nis_ta,,,,
Thematic assessment,Offshore industry,OK,p00905_qsr2023_oic_ta,,,,
Thematic assessment,Pelagic habitat,OK,p00958_qsr2023_pelagic_habitats_ta,,,,
Thematic assessment,Radioactive substances Committee,OK,p00920_qsr2023_rsc_ta,,,,
Thematic assessment,Underwater noise,OK,p00880_qsr2023_noise_ta,,,,
All other assessments,Agriculture,No medata/ pdf ,,,,,
All other assessments,Allis shad,No medata/ pdf ,,,,,
All other assessments,Angel shark,No medata/ pdf ,,,,,
All other assessments,Aquaculture,No medata/ pdf ,,,,,
All other assessments,Assessment data on the management of wastes or other matter (dredged material) 2008-2020,OK,p00971_dredged_material_qsr2023,,,,
All other assessments,Atlantic salmon,No medata/ pdf ,,,,,
All other assessments,Atmospheric deposition of nitrogen to the OSPAR maritime area in the period 1995-2019,OK,p00896_emep_w_qsr2023,,,,
All other assessments,Balearic shearwater,No medata/ pdf ,,,,,
All other assessments,Basking shark,No medata/ pdf ,,,,,
All other assessments,Black-legged kittiwake,No medata/ pdf ,,,,,
All other assessments,Blue whale,No medata/ pdf ,,,,,
All other assessments,Bowhead whale,No medata/ pdf ,,,,,
All other assessments,Carbonate mounds,No medata/ pdf ,,,,,
All other assessments,Common skate,No medata/ pdf ,,,,,
All other assessments,Coral gardens,No medata/ pdf ,,,,,
All other assessments,COVID-19 impact on marine and aquatic environment and the economic dimension,OK,impacts_of_covid_belgian_report,,,,
All other assessments,Deep-sea sponge aggregations,No medata/ pdf ,,,,,
All other assessments,European or Common sturgeon,No medata/ pdf ,,,,,
All other assessments,EUropean eel,No medata/ pdf ,,,,,
All other assessments,European flat oyster and ostrea edulis beds,No medata/ pdf ,,,,,
All other assessments,Extraction of non-living resources,No medata/ pdf ,,,,,
All other assessments,Fisheries,No medata/ pdf ,,,,,
All other assessments,Gulper shark,No medata/ pdf ,,,,,
All other assessments,Iberian guillemot,No medata/ pdf ,,,,,
All other assessments,Impacts on ecosystem services,OK,impacts_on_ecosystems_services_report,,,,
All other assessments,Impacts of marine litter on biota in the OSPAR maritime area,OK,p00888_marine_litter_biota_harm_review,,,,
All other assessments,Impacts of the offshore oil and gas industry,OK,p00904_oic_overall_assessment_impacts_offshore_activities,,,,
All other assessments,Integrated biological effects and chemical contaminants approach: a case study,OK,p00899_int_bio_effects_qsr23,,,,
All other assessments,Intertidal mudflats,No medata/ pdf ,,,,,
All other assessments,Intertidal Mytilus edulis bed,No medata/ pdf ,,,,,
All other assessments,Leafscale gulper shark,No medata/ pdf ,,,,,
All other assessments,Leatherback turtle,No medata/ pdf ,,,,,
All other assessments,Lesser black-backed gull,No medata/ pdf ,,,,,
All other assessments,Loggerhead turtle,No medata/ pdf ,,,,,
All other assessments,Lophelia pertusa reefs,No medata/ pdf ,,,,,
All other assessments,Maerl beds,No medata/ pdf ,,,,,
All other assessments,Modeling of discharge to the marine environment from open circuit flue gas scrubbers on ships,OK,p00890_modelling_flue_gas_exhaust_scrubber_report_,,,,
All other assessments,Ocean acidification,OK,p00898_ocean_acidification_qsr2023,,,,
All other assessments,Ocean ridges with hydrothermal vents,No medata/ pdf ,,,,,
All other assessments,Offshore renewable energy generation,No medata/ pdf ,,Feeder report,,,
All other assessments,Overview assessment of implementation of OSPAR POSH recommendations,OK,p00984_overview_assessment_implementation_recs_qsr2023,,,,
All other assessments,Portbeagle,No medata/ pdf ,,,,,
All other assessments,Portuguese dogfish,No medata/ pdf ,,,,,
